contentsid,title,roadaddress,introduction,latitude,longitude,phoneno,region1cd_value,region1cd_label,region2cd_value,region2cd_label,repPhoto_descseo,repPhoto_photoid_photoid,repPhoto_photoid_imgpath,repPhoto_photoid_thumbnailpath,merged_tag
CNTS_000000000022858,오림반,제주특별자치도 서귀포시 남원읍 신례리,4․3 초기 무장대들이 훈련을 받았던 곳으로 추정되는 곳,33.36067,126.59719,--,region2,서귀포시,25,남원,오림반,16749,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3a37ea7e-6b44-497c-be4c-349b5d299359.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/86a390a0-aaa5-4c1c-af0b-b4a3005d2e73.jpg,"['4.3', '문화유적지', '문화관광', '제주4.3', '역사유적', '어트랙션']"
CONT_000000000500597,족은사슴이오름,제주특별자치도 서귀포시 표선면 녹산로 536,자연이 살아숨쉬는 곳,33.3988071,126.7063341,,region2,서귀포시,26,표선,Jokeunsaseumi Oreum Volcanic Cone,19873,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/803651f9-35e0-49ec-85ea-52f66b41d61e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a0431256-31fa-49f6-8b6c-d5dbaed7449b.jpg,"['부모', '커플', '혼자', '친구', '아이', '오름', '자연경관', '도보여행', '도보', '어린이']"
CNTS_000000000019458,옹포천,제주특별자치도 제주시 한림읍 한림로 563,서부지역의 상수원,33.40766,126.25742,--,region1,제주시,13,한림,옹포천,5329,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/00cc6648-a7c0-43b0-9265-a9206e6b6b0c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/72bafe47-ee8c-4b29-9975-0063d96ba8dc.jpg,"['휴식/힐링', '맑음', '자연경관', '공용주차장', '화장실']"
CNTS_000000000020247,협자연대,제주특별자치도 서귀포시 성산읍 고성리 57-1,성산읍 고성리에 위치한 제주특별자치도 기념물 제23-2호 협자연대,33.426456,126.932304,064-760-2505,region2,서귀포시,17,성산,Hyeopja Signaling Site,8039,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/efee4b65-7986-457c-bd33-9266ac6119c7.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/a18ff66d-59c0-49fb-b82a-3392f0b8c1d6.gif,"['문화유적지', '문화관광', '역사유적', '어트랙션']"
CNTS_000000000021510,신산환해장성,제주특별자치도 서귀포시 성산읍 신산리,자연으로 빚은 성벽,33.38476,126.86652,--,region2,서귀포시,17,성산,신산환해장성,11443,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/50b74127-5ff5-4df2-9579-2cb85952184d.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bed05524-d463-4b3e-8e92-d2714f1106c4.jpg,"['문화유적지', '흐림', '자연경관', '문화관광', '역사유적', '아주 어려움']"
CONT_000000000500013,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 남조로 1487-73,숲이 우거져 검게 보인다고 해서 붙여진 가문이오름,33.3708091,126.6935196,064-760-2913,region2,서귀포시,26,표선,Gamuni Oreum Volcanic Cone (Gameuni Oreum Volcanic Cone),16965,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/053450e8-8370-4b58-a606-fcd63098d962.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5347f00e-4645-40d8-a0ca-e01b5dd51c51.jpg,"['커플', '혼자', '친구', '맑음', '오름', '가을', '자연경관', '도보여행', '도보', '아주 어려움']"
CNTS_000000000022032,라신동,제주특별자치도 제주시 한림읍 귀덕리,· 올레15코스,33.431778,126.290634,--,region1,제주시,13,한림,라신동,12478,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/be30929d-87a3-4498-bd86-a863fe061865.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/f7acf2c6-47e8-4ecc-ba32-bf88d2329ef6.jpg,"['문화유적지', '문화관광', '역사유적', '어트랙션']"
CNTS_000000000019084,섬생이,제주특별자치도 제주시 추자면 신양리 산 87,풍경이 아름다운 추자도 남쪽 무인도,33.939816,126.31154,--,region3,섬 속의 섬,32,추차도,Seomsaengi,4268,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/34d4c936-709e-48db-a7f8-bd1305bd9248.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bf7a0a4e-92bc-486d-83b5-6490187beae8.jpg,"['휴식/힐링', '자연경관']"
CNTS_300000000015883,제주해양레저타운,제주특별자치도 제주시 서해안로 58,이호테우 바다에서 즐기는 짜릿한 레저,33.5021517,126.4564112,0507-1347-7064,region1,제주시,11,제주시내,제주해양레저타운,2019022617935,https://api.cdn.visitjeju.net/photomng/imgpath/202306/20/7ad5bd73-0288-46f2-8326-2f690df6a6ea.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/20/66e8a9d9-9ee6-4331-ae2f-d4bf59a1449c.jpg,"['제주시내', ' 이호테우', ' 수상레저', ' 제트스키', ' 제트보트', ' 바나나보트', ' 디스코팡팡', '실외', '중', '1시간 미만']"
CNTS_000000000022007,풋감마을 소길리 농어촌체험마을,제주시 애월읍 소길1길 15,옛 '올레'길이 그대로 살아 숨쉬는 마을,33.440056,126.380005,064-799-8778,region1,제주시,12,애월,풋감마을 소길리 농어촌체험마을,12368,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1929fd36-fbac-414d-aa01-b9d1110b5bbd.png,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6c47b20f-7efe-4b2c-8ce3-60439bf04087.png,"['체험관광', '친구', '커플', '흐림', '사계절', '체험', '도보여행', '도보', '마을산책', '마을관광', '어트랙션']"
CNTS_200000000007860,월라사,제주특별자치도 서귀포시 효돈순환로 415,서귀포시 신효동에 있는 사찰,33.2687804,126.6101134,064-767-0269,region2,서귀포시,21,서귀포시내,월라사,2018052308813,https://api.cdn.visitjeju.net/photomng/imgpath/201811/14/d7e84aa7-4505-4ba2-84be-351aad77e154.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201811/14/8f66dfc2-194d-4247-bcd0-086c66446104.jpg,"['문화유적지', '휴식/힐링', '가을', '역사유적']"
CNTS_000000000019117,엄바위장승,제주특별자치도 제주시 추자면 예초리 332,억발장사라고도 불리는 장승으로 주민들이 소원을 비는 장승,33.952473,126.32899,--,region3,섬 속의 섬,32,추차도,Eombawi Totem Pole,4406,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/dafdc92b-33c1-4ed1-9586-c322ce43b960.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/1dc47ee0-9dc7-4656-9972-a5c0aa272002.jpg,"['문화유적지', '문화관광', '역사유적', '어트랙션']"
CNTS_000000000021031,추자연도교,제주특별자치도 제주시 추자면 영흥리 97-3,상추자도와 하추자도를 잇는 추자 연도교,33.95409,126.3023,--,region3,섬 속의 섬,32,추차도,추자연도교,10415,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f6eb13cd-e9bd-42a0-9f67-9704361f2e13.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bc941072-7c16-490b-a815-f9246c4f0b84.gif,['걷기/등산']
CNTS_200000000010815,김택화미술관,제주특별자치도 제주시 조천읍 신흥로 1,화가 김택화이 삶과 작품을 볼 수 있는 미술관,33.5447774,126.650164,064-900-9097,region1,제주시,15,조천,김택화미술관,2019022576159,https://api.cdn.visitjeju.net/photomng/imgpath/202011/20/9c097ea3-c43b-49dd-8561-353ffe7d5f16.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202011/20/fcee49ba-76ea-415d-88d9-85cbee75cf3d.jpg,"['미술관', '제주풍경', '화방', '실내관광지', '문화관광', '어트랙션', '공용주차장', '현금결제', '카드결제', '화장실', '', '실내', '하', '1시간 미만']"
CNTS_300000000015879,제주가구공방,제주특별자치도 제주시 도련6길 75,시간이 갈수록 멋스러운 원목가구 체험,33.5108889,126.5780998,0507-1399-3004,region1,제주시,11,제주시내,제주가구공방,2019022617899,https://api.cdn.visitjeju.net/photomng/imgpath/202306/19/dbac60df-07c2-419d-8ad9-5b3dc502d726.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/19/02577601-721c-4224-b50d-50dde43c2022.jpg,"['제주시내', ' 삼양', ' 원데이클래스', ' 목공체험', ' 이색체험', '실내', '중', '1~2시간']"
CNTS_000000000021452,하논마르,제주특별자치도 서귀포시 서홍동 1003,한반도 유일의 마르(Maar)형 분화구,33.252937,126.54583,064-733-2912,region2,서귀포시,21,서귀포시내,하논마르,11310,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a0267b29-2e51-4560-9acd-d55f482c6ea2.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/9d5cb1d9-fbd9-4c1e-8cc2-20dd182dec28.jpg,"['오름', '걷기/등산', '흐림']"
CONT_000000000500681,한남의숙터,제주특별자치도 서귀포시 대정읍 추사로,대정지역의 대표적인 3대 의숙 중의 하나로 민족교육을 실시했던 현대교육기관인 한남의숙이 세워졌던 곳,33.251087,126.27711,064-760-2505,region2,서귀포시,22,대정,Site of Hannamuisuk,20239,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4be81e47-49e2-46e4-b42c-52756aff70e5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/6496f665-a9b9-445e-984a-2c48adf8d3f2.jpg,"['문화유적지', '공용주차장', '음료대', '유도 및 안내시설', '경보 및 피난시설', '아주 어려움', '문화관광', '역사유적', '어트랙션']"
CNTS_300000000012715,몽story,제주특별자치도 제주시 애월읍 하귀9길 34,몽story는 반려동물에게 최고의 서비스를 제공하는 장소다.,33.4840605,126.4160275,0507-1483-9982,region1,제주시,12,애월,몽story,2019022621621,https://api.cdn.visitjeju.net/photomng/imgpath/202308/23/a42944ba-7801-41bc-bb67-6b48d7edd545.JPG,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202308/23/5ee3332e-148e-4f67-a2cb-de6754bd32b2.JPG,"['애견미용실', '반려동물', '반려동물동반입장', '혼저옵서개', '반려동물동반_기타체험', '공용주차장', '화장실', '무료 WIFI', '유도 및 안내시설']"
CNTS_000000000018521,신대산전망대,제주특별자치도 제주시 추자면 예초리,신대산에 있는 전망대,33.954597,126.34063,--,region3,섬 속의 섬,32,추차도,Sindaesan Observatory,3251,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/74cead99-fa88-45c8-a5f2-db3dd8e161b6.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/87602a57-cea2-4ba9-965b-2ebd5c2f11d3.jpg,"['부모', '친구', '커플', '혼자', '경관/포토', '휴식/힐링', '액티비티', '아주 어려움', '체험', '레저/체험', '포토스팟', '어트랙션']"
CNTS_200000000007346,설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,제주 바람이 머물다 간 흔적이 고스란히 남아있는 해변,33.2356687,126.3125597,,region2,서귀포시,23,안덕,설큼바당,2018052303881,https://api.cdn.visitjeju.net/photomng/imgpath/201808/08/5876b1fd-ab39-442c-b782-97b5c4b2f053.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201808/08/159943d0-18ae-4612-9309-1474c4f5dce0.jpg,"['맑음', '경관/포토', '걷기/등산', '여름', '해안산책', '실외', '포토스팟', '자연경관']"
CNTS_000000000021024,상추자마을길,제주특별자치도 제주시 추자도 추자면,상추자도의 제주올레길18-1코스의 초입,33.947014,126.3201,--,region3,섬 속의 섬,32,추차도,상추자마을길,10393,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/46be4cd6-f179-4d09-972b-8da72f8593e8.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/03b89989-54e0-449f-91d1-b34ebc69abf2.gif,"['커플', '친구', '맑음', '걷기', '도보여행', '도보', '마을산책', '마을관광']"
CNTS_000000000022008,테우마을 수원리 농어촌체험마을,제주시 한림읍 한림해안로 274,"쪽빛 바다와 푸른 작물을 품에 안은 마을
· 제주시 한림읍 수원리
· 올레15코스",33.42559,126.264656,064-796-7222,region1,제주시,13,한림,테우마을 수원리 농어촌체험마을,12374,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/53607119-9829-4a1e-8d35-f24ce9df9c0e.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/072be22b-aaa5-45af-928d-f189c59cfb66.jpg,"['체험관광', '아이', '흐림', '사계절', '체험', '마을산책', '마을관광', '어린이', '어트랙션']"
CONT_000000000500339,선족이오름(알선족이),제주특별자치도 제주시 구좌읍 송당리 산 140-2,아기자기한 등성이가 아름다운 곳,33.44329,126.75144,,region1,제주시,16,구좌,Seonjoki Oreum Volcanic Cone (Alseonjoki),18461,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a706d39f-cc76-48f6-8d58-c4bc3242ebd4.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b72dfc2f-a64a-442a-92d0-deaa2837f60f.jpg,"['오름', '걷기/등산', '자연경관', '도보여행', '도보']"
CNTS_200000000007375,감수굴 밭담길,제주특별자치도 제주시 구좌읍 평대7길 34,평대리 중동에 위치한 산책하기 좋은 밭담길,33.5243749,126.8423829,,region1,제주시,16,구좌,감수굴 밭담길,2018052304343,https://api.cdn.visitjeju.net/photomng/imgpath/201808/17/f97cfc9d-ec44-4bb3-8648-b24db79db168.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201808/17/261b283a-6fd1-4c51-a35b-0306db581bb8.jpg,"['걷기/등산', '맑음', '자연경관', '도보여행', '도보']"
CNTS_300000000015841,라니멜레,제주특별자치도 제주시 조천읍 조천우회로 527,하와이 우쿨렐레를 쉽고 재밌게 체험하는 곳,33.5309839,126.6658826,010-9749-1322,region1,제주시,15,조천,라니멜레,2019022617572,https://api.cdn.visitjeju.net/photomng/imgpath/202306/16/aef86ccb-8301-42c8-8000-fd30d73c6b40.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202306/16/e7d36fa4-664b-4665-ac34-736ecbf48a0f.jpg,"['함덕', ' 우쿨렐레', ' 이색체험', '실내', '중', '1~2시간']"
CNTS_000000000022033,대림리선돌,제주특별자치도 제주시 한림읍 대림리,· 올레15코스,33.424404,126.27907,--,region1,제주시,13,한림,대림리선돌,12483,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/bc256e56-3566-4946-b11f-34a7ada4bb4f.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/b9e8da06-8139-4a82-8e44-2dc3b4dfe29d.jpg,"['문화유적지', '문화관광', '역사유적', '어트랙션']"
CNTS_000000000021033,예초리해변,제주특별자치도 제주시 추자면 예초리,작은예초작지,33.95313,126.33361,--,region3,섬 속의 섬,32,추차도,예초리해변,10429,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6701657b-2f41-464b-bf63-f24f7dbb7b99.gif,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e86764e7-5bdd-442a-be9e-5639f4393467.gif,"['해변', '경관/포토', '커플', '혼자', '맑음', '자연경관', '포토스팟']"
CNTS_000000000018843,예절이오름(여절악),제주특별자치도 서귀포시 남원읍 신흥리 산 18,정상에서 바라보는 말굽형 모양의 예절이오름,33.3372665,126.74084760000005,064-760-4151,region2,서귀포시,25,남원,예절이오름(여절악),3766,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/fe4547d9-1f58-410c-8c9b-3ae160cea756.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/162dd913-cdb6-42ba-8129-4347026ffee8.jpg,"['커플', '혼자', '친구', '맑음', '오름', '봄', '가을', '아주 어려움', '자연경관', '도보여행', '도보']"
CNTS_000000000019444,비블리아성서식물원,제주특별자치도 제주시 한림읍 조성로 17,식물을 통한 복음전파와 기독교 문화 산업에 기여하고자 한립음에 조성된 식물원,33.499622,126.53119,064-796-1130,region1,제주시,13,한림,Biblia Botanical Garden,5293,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/726f8540-a4e3-4746-b9df-4f776a1d9beb.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/27ef9ce8-b567-4efd-bdee-9c81e190e6a4.jpg,"['수목원', '테마공원', '흐림', '맑음', '실내관광지', '어트랙션', '공용주차장', '현금결제', '카드결제', '화장실', '유도 및 안내시설', '경보 및 피난시설']"
CNTS_000000000022878,중문리 신사터,제주특별자치도 서귀포시 천제연로 149,4·3 당시 토벌대에 의해 지역 주민들이 일상적으로 학살 당한 곳,33.499622,126.53119,064-739-4340,region2,서귀포시,24,중문,중문리 신사터,16787,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d1adbdb1-2632-4c1d-979f-ae374e121bcb.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/e9758882-7f98-4576-8886-92ea168647b5.jpg,"['4.3', '문화유적지', '문화관광', '제주4.3', '역사유적', '어트랙션']"
CNTS_000000000021642,가파초등학교 마라분교장,제주특별자치도 서귀포시 대정읍 마라로 58,포토존으로 인기있는 가파초등학교 마라 분교장.,33.119247,126.26694,--,region3,섬 속의 섬,33,마라도,가파초등학교 마라분교장,11638,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/de796d05-c002-4a7a-83df-15517bce3cc5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/514eaee3-ad31-4bad-bff2-ea0ea20bc316.jpg,"['경관/포토', '맑음', '사계절', '포토스팟', '어트랙션']"
CNTS_300000000013671,OK레저,제주특별자치도 서귀포시 표선면 번영로 2595,"자연 속 짜릿한 질주, ATV와 함께 스트레스 해소!",33.4027948,126.7831674,010-4746-3280,region2,서귀포시,26,표선,OK레저,2019022655162,https://api.cdn.visitjeju.net/photomng/imgpath/202508/07/67962a1f-5c91-48e6-91aa-04ae5699569c.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202508/07/e0aa5ba0-71c2-49c1-9cf3-a3dcaedd708c.jpg,"['제주', ' 서귀포시', ' 표선', ' atv', ' 레저', ' 액티비티', ' 오프로드', ' 사륜바이크']"
CNTS_000000000019852,조천비석거리,제주특별자치도 제주시 조천읍 조천리,"조천은 제주성과 가까운 곳으로 교통수단을 해로에 의존할 당시 목사나 판관 등 많은 관리가 화북, 조천 포구를 이용하였으므로 이들에 대한 치적과 석별의 뜻을 표시하기 위하여 비석을 세웠는데 이 거리를 통칭하여 비석거리라 한다.",33.539413,126.63747,064-710-6704,region1,제주시,15,조천,Jocheon Stone Monument Street,6402,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0575a76e-d223-4e43-a3c9-6837574adefd.png,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/5e69879e-67fa-480c-9632-31c5b66d0986.png,"['문화유적지', '문화관광', '역사유적', '어트랙션']"
CONT_000000000500151,돔박이오름 (동박악),제주특별자치도 서귀포시 안덕면 광평리 산 89,키 큰 억새들의 오름,33.3394248,126.36417600000004,,region2,서귀포시,23,안덕,Dombaki Volcanic Cone,17492,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cce7772d-0d07-4860-ac5c-33b8dc9bd8e8.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/18f10a5a-9fc0-4b9c-ba76-0b8fa81088a2.jpg,"['커플', '친구', '맑음', '가을', '오름', '자연경관', '도보여행', '도보']"
CNTS_200000000007520,신천리 벽화마을,제주특별자치도 서귀포시 성산읍 신천리,신천리에 위치한 벽화마을,33.3465229,126.8524043,064-787-0157,region2,서귀포시,17,성산,신천리 벽화마을,2018052305901,https://api.cdn.visitjeju.net/photomng/imgpath/201809/19/d14732fe-2ce7-4757-989a-897c1e8d3ad5.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201809/19/91ef85e8-1ef4-4c63-b124-035f76e0a132.jpg,"['예술', '걷기/등산', '경관/포토', '문화관광', '마을산책', '마을관광', '포토스팟']"
CNTS_300000000013757,중앙로,제주특별자치도 제주시 중앙로,제주시의 역사와 현재를 잇는 중심 도로,33.518154271,126.525126215,,region1,제주시,11,제주시내,중앙로,2019022656412,https://api.cdn.visitjeju.net/photomng/imgpath/202509/11/79d921e0-a73c-4a70-941f-d3fbbccd5f18.jpg,https://api.cdn.visitjeju.net/photomng/thumbnailpath/202509/11/5cc963d1-1407-4e1d-821b-49415416a51f.jpg,"['제주중앙로', ' 제주도심여행', ' 동문시장', ' 칠성로상권', ' 제주거리', ' 지하상가']"
